Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
114,2012,Anthony Allen (FA),16,61,3.8,20,1,1,2,4,12,6.0,0,0,16,13.3,0.8,0.0%
153,2011,Anthony Allen (FA),3,8,2.7,3,0,0,0,0,0,0,0,0,5,0.8,0.2,0.0%
