Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
97,2021,Adrian Peterson (FA),38,98,2.6,16,0,2,4,4,8,2.0,0,0,4,22.6,5.7,2.1%
33,2020,Adrian Peterson (FA),156,604,3.9,38,5,7,12,18,101,8.4,0,0,16,112.5,7.0,2.1%
28,2019,Adrian Peterson (FA),211,898,4.3,32,7,5,17,23,142,8.4,0,2,16,130.0,8.1,2.1%
16,2018,Adrian Peterson (FA),251,"1,042",4.2,90,13,7,20,26,208,10.4,1,2,16,169.0,10.6,2.1%
54,2017,Adrian Peterson (FA),156,529,3.4,27,2,2,11,19,70,6.4,0,2,10,67.9,6.8,2.1%
125,2016,Adrian Peterson (FA),37,72,1.9,13,0,0,3,6,8,2.7,0,1,3,6.0,2.0,2.1%
2,2015,Adrian Peterson (FA),327,"1,485",4.5,80,10,11,30,36,222,7.4,0,3,16,230.7,14.4,2.1%
122,2014,Adrian Peterson (FA),21,75,3.6,17,0,0,2,3,18,9.0,0,0,1,9.3,9.3,2.1%
8,2013,Adrian Peterson (FA),279,"1,266",4.5,78,8,10,29,40,171,5.9,1,3,14,203.7,14.6,2.1%
1,2012,Adrian Peterson (FA),348,"2,097",6.0,82,27,12,40,51,217,5.4,1,2,16,307.4,19.2,2.1%
7,2011,Adrian Peterson (FA),208,970,4.7,54,0,12,18,23,139,7.7,1,0,12,188.9,15.7,2.1%
2,2010,Adrian Peterson (FA),283,"1,298",4.6,80,0,12,36,50,341,9.5,1,1,15,239.9,16.0,2.1%
2,2009,Adrian Peterson (FA),314,"1,383",4.4,64,0,18,43,57,436,10.1,0,6,16,277.9,17.4,2.1%
116,2009,Adrian Peterson (FA),7,51,7.3,15,0,0,2,2,11,5.5,0,0,11,6.2,0.6,0.0%
2,2008,Adrian Peterson (FA),363,"1,760",4.8,67,0,10,21,4,125,6.0,0,0,16,248.5,15.5,2.1%
93,2008,Adrian Peterson (FA),20,100,5.0,16,0,0,6,3,45,7.5,0,0,9,14.5,1.6,0.0%
1,2007,Adrian Peterson (FA),238,"1,341",5.6,73,0,12,19,3,268,14.1,1,1,14,236.9,16.9,2.1%
60,2007,Adrian Peterson (FA),28,127,4.5,11,0,0,24,0,193,8.0,0,0,8,32.0,4.0,0.0%
81,2006,Adrian Peterson (FA),10,41,4.1,11,0,2,6,0,88,14.7,0,0,14,24.9,1.8,0.0%
57,2005,Adrian Peterson (FA),76,391,5.1,36,0,2,7,1,48,6.9,0,0,13,55.9,4.3,0.0%
136,2004,Adrian Peterson (FA),6,19,3.2,13,0,0,2,2,30,15.0,0,0,12,4.9,0.4,0.0%
121,2003,Adrian Peterson (FA),22,70,3.2,10,0,0,1,1,5,5.0,0,0,4,7.5,1.9,0.0%
97,2002,Adrian Peterson (FA),19,101,5.3,14,0,1,3,4,18,6.0,0,0,6,17.9,3.0,0.0%
