Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
121,2011,Rock Cartwright (FA),4,45,11.3,35,0,0,4,6,24,6.0,0,0,12,6.9,0.6,0.0%
128,2010,Rock Cartwright (FA),9,22,2.4,10,0,0,1,3,10,10.0,0,0,15,3.2,0.2,0.0%
61,2009,Rock Cartwright (FA),64,228,3.6,34,0,0,27,32,242,9.0,1,0,16,53.0,3.3,0.0%
146,2008,Rock Cartwright (FA),5,14,2.8,7,0,0,1,0,-7,-7.0,0,0,12,0.7,0.1,0.0%
150,2007,Rock Cartwright (FA),2,0,0.0,1,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
143,2006,Rock Cartwright (FA),5,15,3.0,9,0,0,0,0,0,0,0,0,16,1.5,0.1,0.0%
76,2005,Rock Cartwright (FA),27,199,7.4,52,0,2,2,1,23,11.5,0,0,13,34.2,2.6,0.0%
177,2004,Rock Cartwright (FA),2,0,0.0,2,0,0,0,1,0,0,0,0,8,0.0,0.0,0.0%
42,2003,Rock Cartwright (FA),107,411,3.8,22,0,4,18,27,176,9.8,0,2,15,78.7,5.2,0.0%
91,2002,Rock Cartwright (FA),3,22,7.3,20,0,0,11,13,121,11.0,1,0,12,20.3,1.7,0.0%
