Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
134,2013,Collin Mooney (FA),0,0,0,0,0,0,6,6,32,5.3,0,0,12,3.2,0.3,0.0%
145,2012,Collin Mooney (FA),5,19,3.8,8,0,0,0,0,0,0,0,0,2,1.9,1.0,0.0%
