Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
186,2012,Brit Miller (FA),0,0,0,0,0,0,0,3,0,0,0,1,6,-2.0,-0.3,0.0%
122,2011,Brit Miller (FA),5,14,2.8,12,0,0,3,3,41,13.7,0,0,7,5.5,0.8,0.0%
158,2010,Brit Miller (FA),0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
161,2009,Brit Miller (FA),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
