Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
128,2019,Jay Ajayi (FA),10,30,3.0,11,0,0,0,1,0,0,0,0,4,3.0,0.8,7.0%
78,2018,Jay Ajayi (FA),45,184,4.1,20,1,3,5,6,20,4.0,0,1,4,38.4,9.6,7.0%
33,2017,Jay Ajayi (FA),208,873,4.2,71,6,1,24,34,158,6.6,1,2,14,111.1,7.9,7.0%
11,2016,Jay Ajayi (FA),260,"1,272",4.9,62,10,8,27,35,151,5.6,0,1,15,188.3,12.6,7.0%
79,2015,Jay Ajayi (FA),49,187,3.8,24,3,1,7,11,90,12.9,0,0,9,35.7,4.0,7.0%
