Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
60,2011,Thomas Jones (FA),153,478,3.1,26,0,0,5,7,43,8.6,0,0,16,52.1,3.3,0.0%
24,2010,Thomas Jones (FA),245,896,3.7,70,0,6,14,20,122,8.7,0,1,16,135.8,8.5,0.0%
5,2009,Thomas Jones (FA),331,"1,402",4.2,71,0,14,10,18,58,5.8,0,0,16,230.0,14.4,0.0%
6,2008,Thomas Jones (FA),223,"1,058",4.7,59,0,12,27,4,160,5.9,2,0,12,205.8,17.2,0.0%
29,2007,Thomas Jones (FA),160,606,3.8,36,0,0,17,5,122,7.2,0,0,9,72.8,8.1,0.0%
22,2006,Thomas Jones (FA),296,"1,210",4.1,30,0,6,36,0,154,4.3,0,0,16,172.2,10.8,0.0%
9,2005,Thomas Jones (FA),314,"1,335",4.3,42,0,9,26,5,143,5.5,0,1,15,199.8,13.3,0.0%
18,2004,Thomas Jones (FA),240,948,4.0,54,0,7,56,72,427,7.6,0,1,14,177.5,12.7,0.0%
38,2003,Thomas Jones (FA),137,627,4.6,61,0,3,24,31,180,7.5,0,2,15,94.7,6.3,0.0%
45,2002,Thomas Jones (FA),138,511,3.7,58,0,2,20,30,113,5.7,0,2,9,70.4,7.8,0.0%
