Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
162,2019,Kentrell Brothers (FA),10,6,0,0,0,0,0,0,13,19.6,1.5,0.0%
192,2018,Kentrell Brothers (FA),2,0,1,0,0,0,0,0,12,9.5,0.8,0.0%
231,2017,Kentrell Brothers (FA),1,1,0,0,0,0,0,0,16,2.3,0.1,0.0%
354,2016,Kentrell Brothers (FA),0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
