Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
238,2013,Jordan Senn (FA),0,1,0,0,0,0,0,0,14,0.8,0.1,0.0%
265,2012,Jordan Senn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
93,2011,Jordan Senn (FA),39,26,0,2,1,2,0,0,16,96.7,6.0,0.0%
216,2010,Jordan Senn (FA),3,3,0,0,0,0,0,0,14,6.8,0.5,0.0%
210,2009,Jordan Senn (FA),4,3,0,0,0,0,0,0,8,8.3,1.0,0.0%
176,2008,Jordan Senn (FA),6,3,0,0,0,0,0,0,15,11.4,0.8,0.0%
