Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
320,2014,Moise Fokou (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
70,2013,Moise Fokou (FA),62,16,1,0,0,2,1,0,12,126.1,10.5,0.0%
117,2012,Moise Fokou (FA),27,11,1,2,0,1,0,0,16,65.1,4.1,0.0%
157,2011,Moise Fokou (FA),13,7,0,2,0,0,0,0,11,33.0,3.0,0.0%
122,2010,Moise Fokou (FA),31,5,1,1,0,1,0,0,16,67.4,4.2,0.0%
156,2009,Moise Fokou (FA),16,7,0,1,0,0,2,0,16,38.9,2.4,0.0%
