Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
305,2020,Mychal Kendricks (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
57,2019,Mychal Kendricks (FA),47,24,3,4,1,1,0,0,14,135.7,9.7,0.0%
131,2018,Mychal Kendricks (FA),15,4,2,1,0,0,0,0,4,45.0,11.3,0.0%
60,2017,Mychal Kendricks (FA),51,22,2,6,0,0,0,0,15,120.3,8.0,0.0%
127,2016,Mychal Kendricks (FA),21,7,0,1,0,0,1,0,15,49.9,3.3,0.0%
38,2015,Mychal Kendricks (FA),61,21,3,3,0,1,0,0,13,150.5,11.6,0.0%
33,2014,Mychal Kendricks (FA),61,21,4,3,0,3,0,0,12,165.0,13.8,0.0%
18,2013,Mychal Kendricks (FA),81,25,4,4,3,2,4,0,15,221.6,14.8,0.0%
72,2012,Mychal Kendricks (FA),58,17,1,8,0,0,0,0,15,131.1,8.7,0.0%
