Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
27,2011,John Kasay (FA),28,34,82.4,53,0,0,0,0,0,63,63,16,63.0,3.9,0.0%
35,2010,John Kasay (FA),25,29,86.2,55,0,0,0,0,0,17,17,16,17.0,1.1,0.0%
20,2009,John Kasay (FA),22,27,81.5,50,0,0,0,0,0,31,31,16,31.0,1.9,0.0%
2,2008,John Kasay (FA),20,23,87.0,50,0,0,0,0,0,38,38,12,38.0,3.2,0.0%
24,2007,John Kasay (FA),11,14,78.6,52,0,0,0,0,0,14,14,8,14.0,1.8,0.0%
25,2006,John Kasay (FA),24,27,88.9,54,0,0,0,0,0,28,28,16,28.0,1.8,0.0%
8,2005,John Kasay (FA),26,34,76.5,52,0,0,0,0,0,43,43,16,43.0,2.7,0.0%
26,2004,John Kasay (FA),19,22,86.4,54,0,0,0,0,0,27,28,14,27.0,1.9,0.0%
21,2003,John Kasay (FA),32,38,84.2,53,0,0,0,0,0,29,30,16,29.0,1.8,0.0%
38,2002,John Kasay (FA),2,5,40.0,27,0,0,0,0,0,5,5,2,5.0,2.5,0.0%
