Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
37,2010,Kris Brown (FA),4,5,80.0,36,0,0,0,0,0,8,8,3,8.0,2.7,0.0%
8,2009,Kris Brown (FA),21,32,65.6,56,0,0,0,0,0,43,44,16,43.0,2.7,0.0%
13,2008,Kris Brown (FA),24,28,85.7,53,0,0,0,0,0,32,32,13,32.0,2.5,0.0%
12,2007,Kris Brown (FA),18,20,90.0,57,0,0,0,0,0,19,19,9,19.0,2.1,0.0%
27,2006,Kris Brown (FA),19,25,76.0,49,0,0,0,0,0,26,26,16,26.0,1.6,0.0%
23,2005,Kris Brown (FA),26,34,76.5,53,0,0,0,0,0,24,24,16,24.4,1.5,0.0%
16,2004,Kris Brown (FA),17,24,70.8,50,0,0,0,0,0,34,34,16,34.0,2.1,0.0%
24,2003,Kris Brown (FA),18,22,81.8,50,0,0,0,0,0,27,27,16,27.0,1.7,0.0%
30,2002,Kris Brown (FA),17,24,70.8,51,0,0,0,0,0,20,20,16,20.0,1.3,0.0%
