Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
29,2019,Adam Vinatieri (FA),17,25,68.0,55,0,6,6,3,2,22,28,12,80.0,6.7,0.2%
14,2018,Adam Vinatieri (FA),23,27,85.2,54,0,8,6,5,4,44,47,16,126.0,7.9,0.2%
16,2017,Adam Vinatieri (FA),29,34,85.3,54,0,11,7,6,5,22,24,15,125.0,8.3,0.2%
5,2016,Adam Vinatieri (FA),27,31,87.1,54,0,3,7,10,7,44,44,16,149.0,9.3,0.2%
17,2015,Adam Vinatieri (FA),25,27,92.6,55,0,7,6,8,4,32,34,16,123.0,7.7,0.2%
3,2014,Adam Vinatieri (FA),30,31,96.8,53,0,10,10,7,3,50,50,16,153.0,9.6,0.2%
4,2013,Adam Vinatieri (FA),35,40,87.5,52,0,6,10,15,4,34,34,15,162.0,10.8,0.2%
13,2012,Adam Vinatieri (FA),26,33,78.8,53,1,8,4,9,4,37,37,16,132.0,8.3,0.2%
23,2011,Adam Vinatieri (FA),23,27,85.2,53,0,7,6,8,2,24,24,16,105.0,6.6,0.2%
15,2010,Adam Vinatieri (FA),26,28,92.9,48,0,3,6,4,0,51,51,16,94.0,5.9,0.2%
33,2009,Adam Vinatieri (FA),7,9,77.8,48,0,0,0,0,0,17,17,6,17.0,2.8,0.2%
1,2008,Adam Vinatieri (FA),20,25,80.0,52,0,0,0,0,0,38,38,16,38.0,2.4,0.2%
4,2007,Adam Vinatieri (FA),23,29,79.3,39,0,0,0,0,0,26,26,16,26.0,1.6,0.2%
10,2006,Adam Vinatieri (FA),25,28,89.3,48,0,0,0,0,0,38,38,13,38.0,2.9,0.2%
10,2005,Adam Vinatieri (FA),20,25,80.0,49,0,0,0,0,0,40,40,16,40.0,2.5,0.2%
4,2004,Adam Vinatieri (FA),31,33,93.9,48,0,0,0,0,0,48,48,16,52.2,3.3,0.2%
11,2003,Adam Vinatieri (FA),25,34,73.5,48,0,0,0,0,0,37,37,16,37.0,2.3,0.2%
14,2002,Adam Vinatieri (FA),27,30,90.0,57,0,0,0,0,0,36,36,16,36.0,2.3,0.2%
