Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
45,2019,Kasey Redfern (FA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
44,2017,Kasey Redfern (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
