Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
87,2004,Terreal Bierria (FA),47,22,0,5,1,1,0,0,14,108.8,7.8,0.0%
302,2002,Terreal Bierria (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
