Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
157,2017,Rey Maualuga (FA),14,9,0,0,0,0,0,0,6,30.4,5.1,0.0%
137,2016,Rey Maualuga (FA),17,10,0,2,1,0,0,0,14,41.2,2.9,0.0%
77,2015,Rey Maualuga (FA),43,32,0,3,1,0,1,0,15,105.0,7.0,0.0%
91,2014,Rey Maualuga (FA),33,26,0,4,1,0,0,0,12,92.7,7.7,0.0%
80,2013,Rey Maualuga (FA),52,23,1,2,1,0,0,0,13,107.6,8.3,0.0%
51,2012,Rey Maualuga (FA),62,60,1,5,0,0,1,0,16,156.1,9.8,0.0%
55,2011,Rey Maualuga (FA),53,35,0,2,1,3,1,0,13,137.6,10.6,0.0%
77,2010,Rey Maualuga (FA),44,31,1,2,2,0,0,0,16,116.5,7.3,0.0%
94,2009,Rey Maualuga (FA),35,24,1,2,0,2,0,0,15,100.7,6.7,0.0%
