Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
231,2019,James Crawford (FA),0,1,0,0,0,0,0,0,3,0.8,0.3,0.0%
216,2018,James Crawford (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
