Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
21,2021,Seattle Seahawks (SEA),34,11,7,8,0,1,1,17,95.0,5.6,1.0%
13,2020,Seattle Seahawks (SEA),46,14,8,12,0,3,0,16,105.0,6.6,1.0%
14,2019,Seattle Seahawks (SEA),28,16,16,18,3,0,0,16,124.0,7.8,1.0%
9,2018,Seattle Seahawks (SEA),43,12,14,16,2,0,0,16,123.0,7.7,1.0%
8,2017,Seattle Seahawks (SEA),39,14,9,10,4,2,1,16,131.0,8.2,1.0%
12,2016,Seattle Seahawks (SEA),42,11,8,14,1,1,0,16,116.0,7.3,1.0%
6,2015,Seattle Seahawks (SEA),37,14,8,16,3,0,2,16,148.0,9.3,1.0%
4,2014,Seattle Seahawks (SEA),37,13,10,15,2,1,1,16,144.0,9.0,1.0%
1,2013,Seattle Seahawks (SEA),44,28,11,14,4,2,0,16,196.0,12.3,1.0%
2,2012,Seattle Seahawks (SEA),36,18,13,16,3,0,3,16,178.0,11.1,1.0%
5,2011,Seattle Seahawks (SEA),33,22,9,10,4,1,1,16,156.0,9.8,1.0%
22,2010,Seattle Seahawks (SEA),37,12,10,15,2,1,4,16,111.0,6.9,1.0%
25,2009,Seattle Seahawks (SEA),28,13,10,11,3,0,0,16,102.0,6.4,1.0%
21,2008,Seattle Seahawks (SEA),35,9,11,19,3,0,0,16,130.0,8.1,1.0%
3,2007,Seattle Seahawks (SEA),45,20,14,21,2,1,3,16,227.0,14.2,1.0%
15,2006,Seattle Seahawks (SEA),41,12,14,14,2,0,1,16,128.0,8.0,1.0%
4,2005,Seattle Seahawks (SEA),50,16,11,13,3,0,0,16,160.0,10.0,1.0%
16,2004,Seattle Seahawks (SEA),36,23,12,19,3,0,0,16,134.0,8.4,1.0%
13,2003,Seattle Seahawks (SEA),40,16,12,11,2,1,1,16,132.0,8.3,1.0%
22,2002,Seattle Seahawks (SEA),28,19,11,13,2,0,2,16,108.0,6.8,1.0%
