Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
18,2021,Cincinnati Bengals (CIN),42,13,8,14,2,0,0,17,108.0,6.4,35.6%
29,2020,Cincinnati Bengals (CIN),17,11,6,10,0,0,1,16,45.0,2.8,35.6%
31,2019,Cincinnati Bengals (CIN),31,11,5,9,0,1,1,16,67.0,4.2,35.6%
27,2018,Cincinnati Bengals (CIN),34,12,6,9,5,0,0,16,85.0,5.3,35.6%
23,2017,Cincinnati Bengals (CIN),41,11,2,4,3,0,0,16,97.0,6.1,35.6%
19,2016,Cincinnati Bengals (CIN),33,17,3,5,0,1,0,16,92.0,5.8,35.6%
8,2015,Cincinnati Bengals (CIN),42,21,7,10,1,0,0,16,138.0,8.6,35.6%
23,2014,Cincinnati Bengals (CIN),20,20,6,4,1,3,0,16,104.0,6.5,35.6%
5,2013,Cincinnati Bengals (CIN),43,20,11,13,5,0,1,16,167.0,10.4,35.6%
5,2012,Cincinnati Bengals (CIN),51,14,16,16,3,0,1,16,158.0,9.9,35.6%
12,2011,Cincinnati Bengals (CIN),45,10,12,16,3,1,1,16,125.0,7.8,35.6%
28,2010,Cincinnati Bengals (CIN),27,16,10,9,2,0,0,16,101.0,6.3,35.6%
12,2009,Cincinnati Bengals (CIN),34,19,6,8,3,0,1,16,133.0,8.3,35.6%
18,2008,Cincinnati Bengals (CIN),17,12,12,12,3,0,0,16,138.0,8.6,35.6%
19,2007,Cincinnati Bengals (CIN),22,19,15,13,3,1,1,16,185.0,11.6,35.6%
18,2006,Cincinnati Bengals (CIN),35,19,12,12,1,0,0,16,123.0,7.7,35.6%
12,2005,Cincinnati Bengals (CIN),28,31,13,15,1,0,0,16,134.0,8.4,35.6%
6,2004,Cincinnati Bengals (CIN),37,20,16,17,5,0,0,16,160.0,10.0,35.6%
28,2003,Cincinnati Bengals (CIN),30,14,10,15,1,0,1,16,86.0,5.4,35.6%
29,2002,Cincinnati Bengals (CIN),24,9,11,12,3,0,1,16,83.0,5.2,35.6%
