Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
6,2021,Tampa Bay Buccaneers (TB),47,17,12,15,2,0,0,17,141.0,8.3,95.2%
8,2020,Tampa Bay Buccaneers (TB),48,15,10,15,1,1,0,16,119.0,7.4,95.2%
10,2019,Tampa Bay Buccaneers (TB),47,12,16,20,6,0,0,16,134.0,8.4,95.2%
30,2018,Tampa Bay Buccaneers (TB),38,9,8,11,1,0,0,16,68.0,4.3,95.2%
20,2017,Tampa Bay Buccaneers (TB),22,13,13,15,4,0,0,16,106.0,6.6,95.2%
6,2016,Tampa Bay Buccaneers (TB),38,17,12,16,4,1,0,16,133.0,8.3,95.2%
18,2015,Tampa Bay Buccaneers (TB),38,11,12,18,3,0,0,16,104.0,6.5,95.2%
22,2014,Tampa Bay Buccaneers (TB),36,14,11,14,3,0,0,16,105.0,6.6,95.2%
11,2013,Tampa Bay Buccaneers (TB),35,21,10,13,3,1,0,16,126.0,7.9,95.2%
23,2012,Tampa Bay Buccaneers (TB),27,18,8,10,3,0,1,16,108.0,6.8,95.2%
32,2011,Tampa Bay Buccaneers (TB),23,14,10,13,4,1,0,16,79.0,4.9,95.2%
19,2010,Tampa Bay Buccaneers (TB),26,19,9,11,3,0,1,16,120.0,7.5,95.2%
21,2009,Tampa Bay Buccaneers (TB),28,19,10,8,2,0,3,16,110.0,6.9,95.2%
6,2008,Tampa Bay Buccaneers (TB),29,22,8,8,4,0,3,16,175.0,10.9,95.2%
12,2007,Tampa Bay Buccaneers (TB),33,16,19,24,2,0,1,16,204.0,12.8,95.2%
30,2006,Tampa Bay Buccaneers (TB),25,11,9,14,3,0,0,16,99.0,6.2,95.2%
8,2005,Tampa Bay Buccaneers (TB),36,17,13,16,3,1,0,16,152.0,9.5,95.2%
10,2004,Tampa Bay Buccaneers (TB),45,16,11,14,3,0,1,16,149.0,9.3,95.2%
5,2003,Tampa Bay Buccaneers (TB),36,20,13,21,4,1,0,16,179.0,11.2,95.2%
1,2002,Tampa Bay Buccaneers (TB),43,31,7,15,5,2,1,16,219.0,13.7,95.2%
