Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
29,2021,Atlanta Falcons (ATL),18,12,8,10,2,1,0,17,65.0,3.8,0.7%
24,2020,Atlanta Falcons (ATL),29,12,9,17,1,0,0,16,72.0,4.5,0.7%
21,2019,Atlanta Falcons (ATL),28,12,8,13,2,0,1,16,98.0,6.1,0.7%
29,2018,Atlanta Falcons (ATL),37,15,4,8,2,0,0,16,80.0,5.0,0.7%
22,2017,Atlanta Falcons (ATL),39,8,8,11,2,0,0,16,99.0,6.2,0.7%
13,2016,Atlanta Falcons (ATL),34,12,10,17,5,0,0,16,111.0,6.9,0.7%
22,2015,Atlanta Falcons (ATL),19,15,8,12,3,0,0,16,93.0,5.8,0.7%
27,2014,Atlanta Falcons (ATL),22,16,12,10,2,0,1,16,93.0,5.8,0.7%
30,2013,Atlanta Falcons (ATL),32,10,11,13,3,0,0,16,84.0,5.3,0.7%
11,2012,Atlanta Falcons (ATL),29,20,11,15,2,0,0,16,133.0,8.3,0.7%
15,2011,Atlanta Falcons (ATL),33,19,10,12,3,0,0,16,121.0,7.6,0.7%
8,2010,Atlanta Falcons (ATL),31,22,9,12,3,0,2,16,135.0,8.4,0.7%
17,2009,Atlanta Falcons (ATL),28,15,13,17,3,0,0,16,124.0,7.8,0.7%
16,2008,Atlanta Falcons (ATL),34,10,8,10,2,1,1,16,145.0,9.1,0.7%
26,2007,Atlanta Falcons (ATL),25,16,11,13,1,0,0,16,163.0,10.2,0.7%
14,2006,Atlanta Falcons (ATL),37,12,14,16,2,0,0,16,129.0,8.1,0.7%
14,2005,Atlanta Falcons (ATL),37,16,13,14,2,1,0,16,129.0,8.1,0.7%
5,2004,Atlanta Falcons (ATL),48,19,13,19,5,0,1,16,162.0,10.1,0.7%
23,2003,Atlanta Falcons (ATL),36,15,16,21,3,0,1,16,110.0,6.9,0.7%
4,2002,Atlanta Falcons (ATL),47,24,15,19,2,0,1,16,166.0,10.4,0.7%
