Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
19,2021,Chicago Bears (CHI),49,8,8,12,2,1,1,17,105.0,6.2,2.7%
19,2020,Chicago Bears (CHI),35,10,8,13,1,1,1,16,92.0,5.8,2.7%
18,2019,Chicago Bears (CHI),32,10,9,12,1,1,1,16,102.0,6.4,2.7%
1,2018,Chicago Bears (CHI),50,27,9,17,6,1,0,16,190.0,11.9,2.7%
11,2017,Chicago Bears (CHI),42,8,14,11,3,1,2,16,125.0,7.8,2.7%
26,2016,Chicago Bears (CHI),37,8,3,9,2,1,1,16,78.0,4.9,2.7%
30,2015,Chicago Bears (CHI),35,8,9,6,0,0,0,16,77.0,4.8,2.7%
26,2014,Chicago Bears (CHI),39,14,10,15,1,0,1,16,96.0,6.0,2.7%
19,2013,Chicago Bears (CHI),31,19,9,17,6,0,1,16,111.0,6.9,2.7%
1,2012,Chicago Bears (CHI),41,24,20,23,9,0,1,16,224.0,14.0,2.7%
3,2011,Chicago Bears (CHI),33,20,11,13,6,1,3,16,160.0,10.0,2.7%
4,2010,Chicago Bears (CHI),34,21,14,23,1,0,3,16,146.0,9.1,2.7%
23,2009,Chicago Bears (CHI),35,13,15,21,1,1,2,16,104.0,6.5,2.7%
8,2008,Chicago Bears (CHI),28,22,10,7,3,1,3,16,174.0,10.9,2.7%
9,2007,Chicago Bears (CHI),41,16,17,21,1,1,6,16,214.0,13.4,2.7%
2,2006,Chicago Bears (CHI),40,24,20,23,3,1,5,16,204.0,12.8,2.7%
1,2005,Chicago Bears (CHI),41,24,10,18,4,0,1,16,198.0,12.4,2.7%
9,2004,Chicago Bears (CHI),35,17,12,17,6,3,1,16,151.0,9.4,2.7%
30,2003,Chicago Bears (CHI),18,15,5,7,1,0,3,16,80.0,5.0,2.7%
23,2002,Chicago Bears (CHI),35,9,19,20,1,0,0,16,106.0,6.6,2.7%
