Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
3,2021,Miami Dolphins (MIA),48,14,13,14,5,0,1,17,155.0,9.1,22.4%
4,2020,Miami Dolphins (MIA),41,18,10,14,2,0,1,16,141.0,8.8,22.4%
32,2019,Miami Dolphins (MIA),23,13,3,9,1,1,1,16,50.0,3.1,22.4%
18,2018,Miami Dolphins (MIA),31,21,7,10,3,0,2,16,106.0,6.6,22.4%
25,2017,Miami Dolphins (MIA),30,9,6,7,3,2,0,16,90.0,5.6,22.4%
15,2016,Miami Dolphins (MIA),33,16,9,15,1,0,3,16,104.0,6.5,22.4%
26,2015,Miami Dolphins (MIA),31,13,3,8,3,0,1,16,86.0,5.4,22.4%
15,2014,Miami Dolphins (MIA),39,14,11,12,3,3,0,16,125.0,7.8,22.4%
13,2013,Miami Dolphins (MIA),42,18,6,8,2,1,0,16,121.0,7.6,22.4%
24,2012,Miami Dolphins (MIA),42,10,6,11,0,0,2,16,106.0,6.6,22.4%
19,2011,Miami Dolphins (MIA),41,16,3,6,1,0,0,16,111.0,6.9,22.4%
26,2010,Miami Dolphins (MIA),39,11,8,12,1,1,0,16,104.0,6.5,22.4%
22,2009,Miami Dolphins (MIA),44,15,6,11,2,0,2,16,106.0,6.6,22.4%
9,2008,Miami Dolphins (MIA),40,18,12,14,2,1,0,16,166.0,10.4,22.4%
29,2007,Miami Dolphins (MIA),30,14,8,12,2,0,1,16,149.0,9.3,22.4%
6,2006,Miami Dolphins (MIA),47,8,19,22,3,0,0,16,154.0,9.6,22.4%
11,2005,Miami Dolphins (MIA),49,14,17,18,1,3,0,16,141.0,8.8,22.4%
23,2004,Miami Dolphins (MIA),36,15,10,16,1,1,1,16,114.0,7.1,22.4%
4,2003,Miami Dolphins (MIA),44,22,14,15,3,1,0,16,180.0,11.3,22.4%
7,2002,Miami Dolphins (MIA),47,21,9,13,2,0,0,16,149.0,9.3,22.4%
