Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
2,2021,New England Patriots (NE),36,23,7,11,3,0,0,17,158.0,9.3,46.5%
11,2020,New England Patriots (NE),24,18,4,5,2,0,2,16,108.0,6.8,46.5%
1,2019,New England Patriots (NE),47,25,11,14,5,1,2,16,232.0,14.5,46.5%
4,2018,New England Patriots (NE),30,18,10,12,2,0,2,16,131.0,8.2,46.5%
14,2017,New England Patriots (NE),42,12,5,9,0,2,1,16,116.0,7.3,46.5%
8,2016,New England Patriots (NE),34,13,10,13,0,3,0,16,126.0,7.9,46.5%
9,2015,New England Patriots (NE),49,12,9,20,2,1,0,16,133.0,8.3,46.5%
7,2014,New England Patriots (NE),40,16,9,14,2,0,3,16,138.0,8.6,46.5%
8,2013,New England Patriots (NE),48,17,12,11,3,0,0,16,145.0,9.1,46.5%
4,2012,New England Patriots (NE),37,20,21,28,5,1,2,16,167.0,10.4,46.5%
9,2011,New England Patriots (NE),40,23,11,10,3,0,1,16,136.0,8.5,46.5%
3,2010,New England Patriots (NE),36,25,13,11,5,0,4,16,172.0,10.8,46.5%
11,2009,New England Patriots (NE),31,18,10,13,3,0,0,16,135.0,8.4,46.5%
24,2008,New England Patriots (NE),31,14,8,11,0,0,1,16,126.0,7.9,46.5%
2,2007,New England Patriots (NE),47,19,12,16,6,0,2,16,229.0,14.3,46.5%
3,2006,New England Patriots (NE),44,22,13,13,0,1,1,16,162.0,10.1,46.5%
29,2005,New England Patriots (NE),33,10,8,8,2,0,0,16,97.0,6.1,46.5%
3,2004,New England Patriots (NE),45,20,16,20,4,0,1,16,177.0,11.1,46.5%
1,2003,New England Patriots (NE),41,29,12,18,6,1,1,16,221.0,13.8,46.5%
13,2002,New England Patriots (NE),34,18,11,15,4,0,2,16,129.0,8.1,46.5%
