Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
10,2021,Minnesota Vikings (MIN),51,16,8,13,2,0,2,17,124.0,7.3,10.7%
27,2020,Minnesota Vikings (MIN),23,15,7,8,0,1,0,16,60.0,3.8,10.7%
7,2019,Minnesota Vikings (MIN),48,17,14,18,2,1,0,16,144.0,9.0,10.7%
8,2018,Minnesota Vikings (MIN),50,12,8,7,3,0,0,16,125.0,7.8,10.7%
13,2017,Minnesota Vikings (MIN),37,14,5,5,1,1,0,16,117.0,7.3,10.7%
5,2016,Minnesota Vikings (MIN),41,14,13,13,4,1,3,16,139.0,8.7,10.7%
11,2015,Minnesota Vikings (MIN),43,13,9,10,3,0,3,16,122.0,7.6,10.7%
14,2014,Minnesota Vikings (MIN),41,13,6,8,3,0,2,16,126.0,7.9,10.7%
31,2013,Minnesota Vikings (MIN),41,12,8,11,1,0,3,16,72.0,4.5,10.7%
13,2012,Minnesota Vikings (MIN),44,10,12,13,3,0,2,16,123.0,7.7,10.7%
27,2011,Minnesota Vikings (MIN),50,8,15,18,0,1,1,16,93.0,5.8,10.7%
24,2010,Minnesota Vikings (MIN),31,15,10,11,2,0,1,16,107.0,6.7,10.7%
14,2009,Minnesota Vikings (MIN),48,11,13,20,1,1,2,16,131.0,8.2,10.7%
7,2008,Minnesota Vikings (MIN),45,12,13,20,2,3,2,16,175.0,10.9,10.7%
1,2007,Minnesota Vikings (MIN),38,15,16,21,8,1,1,16,246.0,15.4,10.7%
5,2006,Minnesota Vikings (MIN),30,21,15,13,5,0,1,16,155.0,9.7,10.7%
13,2005,Minnesota Vikings (MIN),34,24,11,8,3,0,2,16,130.0,8.1,10.7%
26,2004,Minnesota Vikings (MIN),39,11,11,16,2,0,1,16,99.0,6.2,10.7%
7,2003,Minnesota Vikings (MIN),37,28,7,16,4,2,0,16,153.0,9.6,10.7%
32,2002,Minnesota Vikings (MIN),27,16,7,5,1,1,0,16,76.0,4.8,10.7%
