Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
12,2021,Los Angeles Rams (LAR),50,19,6,13,0,0,1,17,121.0,7.1,65.8%
1,2020,Los Angeles Rams (LAR),53,14,8,12,4,1,0,16,151.0,9.4,65.8%
6,2019,Los Angeles Rams (LAR),50,13,11,13,4,1,0,16,146.0,9.1,65.8%
2,2018,Los Angeles Rams (LAR),41,18,12,12,4,2,0,16,149.0,9.3,65.8%
4,2017,Los Angeles Rams (LAR),48,18,10,17,3,2,3,16,161.0,10.1,65.8%
22,2016,Los Angeles Rams (LAR),31,10,8,11,1,0,0,16,91.0,5.7,65.8%
10,2015,Los Angeles Rams (LAR),41,13,13,18,3,1,1,16,132.0,8.3,65.8%
5,2014,Los Angeles Rams (LAR),40,13,12,16,3,0,2,16,139.0,8.7,65.8%
7,2013,Los Angeles Rams (LAR),53,14,15,18,5,1,1,16,154.0,9.6,65.8%
10,2012,Los Angeles Rams (LAR),52,17,4,10,5,1,0,16,149.0,9.3,65.8%
29,2011,Los Angeles Rams (LAR),39,12,6,13,1,2,1,16,91.0,5.7,65.8%
21,2010,Los Angeles Rams (LAR),43,14,12,19,0,1,0,16,118.0,7.4,65.8%
31,2009,Los Angeles Rams (LAR),25,8,11,13,1,0,0,16,63.0,3.9,65.8%
32,2008,Los Angeles Rams (LAR),30,12,14,16,1,0,0,16,86.0,5.4,65.8%
32,2007,Los Angeles Rams (LAR),31,18,9,14,2,1,1,16,44.0,2.8,65.8%
22,2006,Los Angeles Rams (LAR),34,17,15,18,2,0,0,16,119.0,7.4,65.8%
26,2005,Los Angeles Rams (LAR),41,13,14,14,2,1,1,16,109.0,6.8,65.8%
28,2004,Los Angeles Rams (LAR),34,6,9,12,3,0,0,16,90.0,5.6,65.8%
3,2003,Los Angeles Rams (LAR),42,24,22,22,5,1,0,16,190.0,11.9,65.8%
20,2002,Los Angeles Rams (LAR),38,12,14,23,1,0,1,16,118.0,7.4,65.8%
