Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
15,2021,Green Bay Packers (GB),39,18,8,9,2,0,0,17,117.0,6.9,89.2%
18,2020,Green Bay Packers (GB),41,11,7,11,2,1,0,16,94.0,5.9,89.2%
16,2019,Green Bay Packers (GB),41,17,7,11,0,0,0,16,110.0,6.9,89.2%
25,2018,Green Bay Packers (GB),43,7,8,9,1,0,0,16,92.0,5.8,89.2%
24,2017,Green Bay Packers (GB),37,11,10,10,2,0,0,16,92.0,5.8,89.2%
17,2016,Green Bay Packers (GB),40,17,8,8,0,0,0,16,100.0,6.3,89.2%
14,2015,Green Bay Packers (GB),43,16,6,11,2,0,0,16,119.0,7.4,89.2%
10,2014,Green Bay Packers (GB),41,18,9,11,4,1,2,16,130.0,8.1,89.2%
25,2013,Green Bay Packers (GB),44,11,11,13,2,0,1,16,100.0,6.3,89.2%
14,2012,Green Bay Packers (GB),47,18,5,8,2,0,1,16,122.0,7.6,89.2%
8,2011,Green Bay Packers (GB),29,31,7,12,5,0,2,16,138.0,8.6,89.2%
2,2010,Green Bay Packers (GB),47,24,8,14,4,0,0,16,177.0,11.1,89.2%
3,2009,Green Bay Packers (GB),37,30,10,10,4,1,0,16,171.0,10.7,89.2%
11,2008,Green Bay Packers (GB),27,22,6,13,7,0,2,16,166.0,10.4,89.2%
11,2007,Green Bay Packers (GB),36,19,9,10,4,0,2,16,207.0,12.9,89.2%
8,2006,Green Bay Packers (GB),46,23,10,15,5,0,0,16,150.0,9.4,89.2%
25,2005,Green Bay Packers (GB),35,10,11,13,2,0,1,16,109.0,6.8,89.2%
25,2004,Green Bay Packers (GB),40,8,7,11,5,0,0,16,106.0,6.6,89.2%
9,2003,Green Bay Packers (GB),34,21,11,16,3,0,0,16,148.0,9.3,89.2%
3,2002,Green Bay Packers (GB),43,24,21,22,4,0,0,16,176.0,11.0,89.2%
