Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
72,2012,Kevin Walter (FA),41,68,518,12.6,52,5,2,0,0,0,0,16,63.8,4.0,0.0%
65,2011,Kevin Walter (FA),39,59,474,12.2,41,0,3,0,0,0,0,15,65.4,4.4,0.0%
47,2010,Kevin Walter (FA),51,80,621,12.2,35,0,5,0,0,0,0,16,92.1,5.8,0.0%
63,2009,Kevin Walter (FA),53,70,611,11.5,41,0,2,4,26,0,0,14,75.7,5.4,0.0%
16,2008,Kevin Walter (FA),60,8,899,15.0,61,0,8,3,23,0,0,16,140.2,8.8,0.0%
22,2007,Kevin Walter (FA),65,15,800,12.3,46,0,4,5,30,0,0,16,107.0,6.7,0.0%
110,2006,Kevin Walter (FA),17,0,160,9.4,15,0,0,1,3,0,0,16,16.3,1.0,0.0%
99,2005,Kevin Walter (FA),19,0,211,11.1,33,0,1,0,0,0,0,16,27.1,1.7,0.0%
134,2004,Kevin Walter (FA),8,9,67,8.4,18,0,0,0,0,0,0,13,6.7,0.5,0.0%
149,2003,Kevin Walter (FA),3,4,18,6.0,9,0,0,0,0,0,0,7,1.8,0.3,0.0%
