Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
86,2019,Demaryius Thomas (FA),36,58,433,12.0,47,7,1,0,0,0,0,11,49.3,4.5,0.1%
44,2018,Demaryius Thomas (FA),59,89,677,11.5,45,15,5,0,0,0,0,15,97.7,6.5,0.1%
23,2017,Demaryius Thomas (FA),83,140,949,11.4,40,15,5,0,0,0,1,16,122.9,7.7,0.1%
19,2016,Demaryius Thomas (FA),90,144,"1,083",12.0,55,10,5,0,0,0,2,16,136.3,8.5,0.1%
13,2015,Demaryius Thomas (FA),105,177,"1,304",12.4,72,14,6,0,0,0,2,16,162.4,10.2,0.1%
2,2014,Demaryius Thomas (FA),111,184,"1,619",14.6,86,25,11,0,0,0,0,16,229.9,14.4,0.1%
2,2013,Demaryius Thomas (FA),92,142,"1,430",15.5,78,19,14,0,0,0,0,16,227.0,14.2,0.1%
5,2012,Demaryius Thomas (FA),94,141,"1,434",15.3,71,29,10,0,0,0,3,16,197.4,12.3,0.1%
56,2011,Demaryius Thomas (FA),32,70,551,17.2,47,0,4,1,5,0,0,11,79.6,7.2,0.1%
98,2010,Demaryius Thomas (FA),22,39,283,12.9,31,0,2,2,1,0,2,10,36.4,3.6,0.1%
