Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
154,2012,Jamar Newsome (FA),5,16,73,14.6,28,2,0,0,0,0,0,6,7.3,1.2,0.0%
200,2011,Jamar Newsome (FA),0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
