Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
241,2019,James Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
23,2015,James Jones (FA),50,99,890,17.8,65,18,8,0,0,0,0,16,141.0,8.8,0.0%
45,2014,James Jones (FA),73,112,666,9.1,42,6,6,0,0,0,1,16,100.6,6.3,0.0%
43,2013,James Jones (FA),59,93,817,13.8,83,12,3,0,0,0,1,14,97.7,7.0,0.0%
16,2012,James Jones (FA),64,98,784,12.3,49,11,14,0,0,0,0,16,162.4,10.2,0.0%
38,2011,James Jones (FA),38,55,635,16.7,70,0,7,0,0,0,0,16,105.5,6.6,0.0%
44,2010,James Jones (FA),50,87,679,13.6,66,0,5,0,0,0,1,16,95.9,6.0,0.0%
64,2009,James Jones (FA),32,62,440,13.8,74,0,5,0,0,0,0,16,74.0,4.6,0.0%
87,2008,James Jones (FA),20,0,274,13.7,46,0,1,0,0,0,0,10,33.4,3.3,0.0%
32,2007,James Jones (FA),47,4,676,14.4,79,0,2,0,0,0,0,16,79.6,5.0,0.0%
