Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
106,2021,Sterling Shepard (NYG),36,53,366,10.2,37,5,1,1,-9,0,0,7,41.7,6.0,1.7%
52,2020,Sterling Shepard (NYG),66,90,656,9.9,29,10,3,6,49,1,0,12,96.5,8.0,1.7%
54,2019,Sterling Shepard (NYG),57,83,576,10.1,36,9,3,6,72,0,0,10,84.8,8.5,1.7%
29,2018,Sterling Shepard (NYG),66,107,872,13.2,58,23,4,3,33,0,0,16,116.5,7.3,1.7%
47,2017,Sterling Shepard (NYG),59,84,731,12.4,77,7,2,4,4,0,0,11,85.5,7.8,1.7%
36,2016,Sterling Shepard (NYG),65,105,683,10.5,32,6,8,3,31,0,0,16,119.4,7.5,1.7%
