Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
285,2019,Corey Coleman (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
163,2018,Corey Coleman (FA),5,8,71,14.2,30,2,0,1,5,0,0,8,7.6,1.0,0.0%
89,2017,Corey Coleman (FA),23,58,305,13.3,44,4,2,0,0,0,0,9,42.5,4.7,0.0%
83,2016,Corey Coleman (FA),33,73,413,12.5,58,4,3,2,10,0,0,10,60.3,6.0,0.0%
