Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
114,2008,Darrell Jackson (FA),11,0,142,12.9,30,0,0,0,0,0,0,9,14.2,1.6,0.0%
72,2007,Darrell Jackson (FA),20,0,237,11.9,34,0,1,0,0,0,0,7,29.7,4.2,0.0%
13,2006,Darrell Jackson (FA),63,0,956,15.2,72,0,10,0,0,0,0,13,155.6,12.0,0.0%
61,2005,Darrell Jackson (FA),38,9,482,12.7,48,0,3,1,7,0,0,6,66.9,11.2,0.0%
13,2004,Darrell Jackson (FA),87,156,"1,199",13.8,56,0,7,0,0,0,1,16,161.9,10.1,0.0%
9,2003,Darrell Jackson (FA),68,130,"1,137",16.7,80,0,9,0,0,0,1,16,165.7,10.4,0.0%
34,2002,Darrell Jackson (FA),62,112,877,14.1,48,0,4,3,3,0,2,13,108.0,8.3,0.0%
