Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
218,2013,Chris Neild (FA),4,2,0,0,0,0,0,0,8,12.6,1.6,0.0%
195,2011,Chris Neild (FA),4,6,2,0,0,0,0,0,16,21.2,1.3,0.0%
