Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
129,2004,Dario Romero (FA),15,6,3.5,1,0,0,0,0,13,52.6,4.0,0.0%
223,2003,Dario Romero (FA),3,2,0,1,0,0,0,0,4,7.6,1.9,0.0%
