Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
97,2021,DaVon Hamilton (JAC),26,20,1,2,0,0,1,0,15,70.4,4.7,0.1%
131,2020,DaVon Hamilton (JAC),14,16,1,1,0,0,1,0,11,47.8,4.3,0.1%
