Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
322,2006,Marquise Hill (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
222,2005,Marquise Hill (FA),2,1,0,0,0,0,0,0,2,3.8,1.9,0.0%
