Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
245,2009,Kenny Smith (FA),2,0,0,0,0,0,0,0,2,3.0,1.5,0.0%
90,2003,Kenny Smith (FA),32,10,1,1,0,0,1,0,15,75.3,5.0,0.0%
129,2002,Kenny Smith (FA),16,3,3.5,1,0,0,1,0,9,55.9,6.2,0.0%
