Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
131,2014,Anthony Spencer (FA),12,10,0.5,1,0,1,1,1,13,48.3,3.7,0.0%
255,2013,Anthony Spencer (FA),2,0,0,0,0,0,0,0,1,3.0,3.0,0.0%
3,2012,Anthony Spencer (FA),55,40,11,4,0,2,1,0,14,209.9,15.0,0.0%
9,2011,Anthony Spencer (FA),51,15,6,1,0,4,0,0,16,159.5,10.0,0.0%
14,2010,Anthony Spencer (FA),52,11,5,2,0,2,1,0,16,134.0,8.4,0.0%
3,2009,Anthony Spencer (FA),50,17,6,8,1,2,2,0,16,177.5,11.1,0.0%
119,2008,Anthony Spencer (FA),17,11,1.5,0,0,0,1,0,12,46.5,3.9,0.0%
62,2007,Anthony Spencer (FA),20,7,3,0,0,1,0,0,16,51.4,3.2,0.0%
