Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
28,2021,Las Vegas Raiders (LV),35,6,9,9,0,1,0,17,65.0,3.8,3.2%
31,2020,Las Vegas Raiders (LV),21,10,5,8,0,0,0,16,43.0,2.7,3.2%
29,2019,Las Vegas Raiders (LV),32,9,6,8,2,0,0,16,70.0,4.4,3.2%
32,2018,Las Vegas Raiders (LV),13,14,3,5,1,0,1,16,40.0,2.5,3.2%
32,2017,Las Vegas Raiders (LV),31,5,9,12,0,0,0,16,68.0,4.3,3.2%
18,2016,Las Vegas Raiders (LV),25,16,14,19,1,0,0,16,94.0,5.9,3.2%
17,2015,Las Vegas Raiders (LV),38,14,11,13,1,2,0,16,106.0,6.6,3.2%
32,2014,Las Vegas Raiders (LV),22,9,5,10,1,0,0,16,59.0,3.7,3.2%
23,2013,Las Vegas Raiders (LV),38,9,13,17,3,0,0,16,104.0,6.5,3.2%
30,2012,Las Vegas Raiders (LV),25,11,8,8,0,0,0,16,61.0,3.8,3.2%
26,2011,Las Vegas Raiders (LV),39,18,8,6,1,1,1,16,94.0,5.9,3.2%
12,2010,Las Vegas Raiders (LV),47,12,12,12,3,2,4,16,129.0,8.1,3.2%
29,2009,Las Vegas Raiders (LV),37,8,12,11,0,0,0,16,78.0,4.9,3.2%
20,2008,Las Vegas Raiders (LV),32,16,8,12,0,2,5,16,130.0,8.1,3.2%
23,2007,Las Vegas Raiders (LV),27,18,8,10,2,1,0,16,173.0,10.8,3.2%
20,2006,Las Vegas Raiders (LV),34,18,5,7,4,1,0,16,122.0,7.6,3.2%
30,2005,Las Vegas Raiders (LV),36,5,14,14,1,0,0,16,93.0,5.8,3.2%
32,2004,Las Vegas Raiders (LV),25,9,9,10,1,1,0,16,70.0,4.4,3.2%
27,2003,Las Vegas Raiders (LV),25,14,11,11,2,1,3,16,96.0,6.0,3.2%
8,2002,Las Vegas Raiders (LV),43,21,10,11,3,0,3,16,147.0,9.2,3.2%
