Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
30,2021,Jacksonville Jaguars (JAC),32,7,2,6,0,0,1,17,64.0,3.8,0.8%
28,2020,Jacksonville Jaguars (JAC),18,12,5,8,1,0,2,16,54.0,3.4,0.8%
17,2019,Jacksonville Jaguars (JAC),47,10,9,13,2,0,0,16,103.0,6.4,0.8%
15,2018,Jacksonville Jaguars (JAC),37,11,6,6,2,2,1,16,109.0,6.8,0.8%
1,2017,Jacksonville Jaguars (JAC),55,21,12,17,7,0,1,16,199.0,12.4,0.8%
28,2016,Jacksonville Jaguars (JAC),33,7,6,8,1,0,1,16,64.0,4.0,0.8%
24,2015,Jacksonville Jaguars (JAC),36,9,9,14,3,0,1,16,90.0,5.6,0.8%
20,2014,Jacksonville Jaguars (JAC),45,6,14,19,3,1,0,16,111.0,6.9,0.8%
29,2013,Jacksonville Jaguars (JAC),31,11,10,14,2,3,0,16,86.0,5.4,0.8%
28,2012,Jacksonville Jaguars (JAC),20,12,11,12,0,0,1,16,70.0,4.4,0.8%
13,2011,Jacksonville Jaguars (JAC),31,17,11,16,3,0,1,16,124.0,7.8,0.8%
31,2010,Jacksonville Jaguars (JAC),26,13,5,5,0,0,1,16,60.0,3.8,0.8%
32,2009,Jacksonville Jaguars (JAC),14,15,10,15,0,0,0,16,58.0,3.6,0.8%
23,2008,Jacksonville Jaguars (JAC),29,13,4,8,3,1,0,16,126.0,7.9,0.8%
14,2007,Jacksonville Jaguars (JAC),37,20,9,13,3,0,1,16,202.0,12.6,0.8%
11,2006,Jacksonville Jaguars (JAC),35,20,4,8,1,0,1,16,138.0,8.6,0.8%
9,2005,Jacksonville Jaguars (JAC),47,19,9,15,2,0,1,16,146.0,9.1,0.8%
17,2004,Jacksonville Jaguars (JAC),37,16,11,12,0,2,0,16,131.0,8.2,0.8%
24,2003,Jacksonville Jaguars (JAC),24,15,12,15,1,0,0,16,103.0,6.4,0.8%
21,2002,Jacksonville Jaguars (JAC),36,14,13,14,0,2,1,16,112.0,7.0,0.8%
