Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
32,2021,Detroit Lions (DET),30,11,8,11,0,0,0,17,58.0,3.4,1.0%
32,2020,Detroit Lions (DET),24,7,5,15,0,1,1,16,35.0,2.2,1.0%
28,2019,Detroit Lions (DET),28,7,11,13,1,0,2,16,78.0,4.9,1.0%
21,2018,Detroit Lions (DET),43,7,7,9,2,0,0,16,100.0,6.3,1.0%
6,2017,Detroit Lions (DET),35,19,13,13,5,0,2,16,144.0,9.0,1.0%
27,2016,Detroit Lions (DET),26,10,4,7,1,2,2,16,73.0,4.6,1.0%
21,2015,Detroit Lions (DET),43,9,9,17,2,2,0,16,97.0,6.1,1.0%
9,2014,Detroit Lions (DET),42,20,7,11,2,1,0,16,130.0,8.1,1.0%
26,2013,Detroit Lions (DET),33,15,7,8,2,2,2,16,100.0,6.3,1.0%
29,2012,Detroit Lions (DET),34,11,6,9,0,1,0,16,68.0,4.3,1.0%
2,2011,Detroit Lions (DET),41,21,13,17,7,1,0,16,163.0,10.2,1.0%
11,2010,Detroit Lions (DET),44,14,15,16,3,1,1,16,130.0,8.1,1.0%
30,2009,Detroit Lions (DET),26,9,13,16,3,2,0,16,75.0,4.7,1.0%
30,2008,Detroit Lions (DET),30,4,16,17,1,1,0,16,93.0,5.8,1.0%
5,2007,Detroit Lions (DET),37,17,18,21,4,1,1,16,222.0,13.9,1.0%
28,2006,Detroit Lions (DET),30,12,18,17,1,1,0,16,103.0,6.4,1.0%
16,2005,Detroit Lions (DET),31,19,12,19,3,1,0,16,129.0,8.1,1.0%
20,2004,Detroit Lions (DET),38,14,10,16,1,1,5,16,119.0,7.4,1.0%
21,2003,Detroit Lions (DET),28,15,13,16,4,0,3,16,118.0,7.4,1.0%
27,2002,Detroit Lions (DET),33,10,14,18,3,0,3,16,103.0,6.4,1.0%
