Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
85,2021,Le'Veon Bell (FA),39,101,2.6,12,0,2,5,7,30,6.0,1,0,8,33.1,4.1,0.1%
62,2020,Le'Veon Bell (FA),82,328,4.0,16,0,2,16,20,138,8.6,0,0,11,58.6,5.3,0.1%
21,2019,Le'Veon Bell (FA),245,789,3.2,19,0,3,66,78,461,7.0,1,1,15,149.0,9.9,0.1%
2,2017,Le'Veon Bell (FA),321,"1,291",4.0,27,3,9,85,106,655,7.7,2,2,15,256.6,17.1,0.1%
4,2016,Le'Veon Bell (FA),261,"1,268",4.9,44,4,7,75,94,616,8.2,2,1,12,242.4,20.2,0.1%
46,2015,Le'Veon Bell (FA),113,556,4.9,42,8,3,24,26,136,5.7,0,0,6,87.2,14.5,0.1%
2,2014,Le'Veon Bell (FA),290,"1,361",4.7,81,8,8,83,105,854,10.3,3,0,16,287.5,18.0,0.1%
14,2013,Le'Veon Bell (FA),244,860,3.5,43,4,8,45,66,399,8.9,0,1,13,171.9,13.2,0.1%
