Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
151,2004,George Layne (FA),1,12,12.0,12,0,0,1,1,6,6.0,0,0,4,1.8,0.5,0.0%
145,2003,George Layne (FA),1,15,15.0,15,0,0,1,2,3,3.0,0,0,3,1.8,0.6,0.0%
171,2002,George Layne (FA),1,5,5.0,5,0,0,2,2,11,5.5,0,1,2,-0.4,-0.2,0.0%
