Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
115,2016,George Atkinson III (FA),7,34,4.9,11,0,1,0,0,0,0,0,0,16,9.4,0.6,0.0%
175,2014,George Atkinson III (FA),0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
