Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
191,2019,Jeremy Hill (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
129,2018,Jeremy Hill (FA),4,25,6.3,11,0,0,1,1,6,6.0,0,0,1,3.1,3.1,0.0%
105,2017,Jeremy Hill (FA),37,116,3.1,13,0,0,4,4,16,4.0,0,0,7,13.2,1.9,0.0%
19,2016,Jeremy Hill (FA),222,839,3.8,74,5,9,21,27,174,8.3,0,0,15,155.3,10.4,0.0%
14,2015,Jeremy Hill (FA),223,794,3.6,38,1,11,15,19,79,5.3,1,3,16,155.3,9.7,0.0%
10,2014,Jeremy Hill (FA),222,"1,124",5.1,85,8,9,27,32,215,8.0,0,2,16,183.9,11.5,0.0%
