Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
170,2019,Jamaal Charles (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
142,2018,Jamaal Charles (FA),6,7,1.2,5,0,0,2,3,7,3.5,0,0,2,1.4,0.7,0.1%
70,2017,Jamaal Charles (FA),69,296,4.3,19,0,1,23,28,129,5.6,0,2,14,44.5,3.2,0.1%
110,2016,Jamaal Charles (FA),12,40,3.3,17,0,1,2,3,14,7.0,0,0,3,11.4,3.8,0.1%
51,2015,Jamaal Charles (FA),71,364,5.1,34,2,4,21,30,177,8.4,1,2,5,80.1,16.0,0.1%
7,2014,Jamaal Charles (FA),206,"1,033",5.0,63,6,9,40,59,291,7.3,5,3,15,210.4,14.0,0.1%
1,2013,Jamaal Charles (FA),259,"1,287",5.0,46,6,12,70,104,693,9.9,7,2,15,308.0,20.5,0.1%
8,2012,Jamaal Charles (FA),285,"1,509",5.3,91,11,5,35,48,236,6.7,1,3,16,204.5,12.8,0.1%
104,2011,Jamaal Charles (FA),12,83,6.9,24,0,0,5,6,9,1.8,1,1,2,13.2,6.6,0.1%
3,2010,Jamaal Charles (FA),230,"1,467",6.4,80,0,5,45,64,468,10.4,3,2,16,237.5,14.8,0.1%
12,2009,Jamaal Charles (FA),190,"1,120",5.9,76,0,7,40,56,297,7.4,1,3,15,185.7,12.4,0.1%
51,2008,Jamaal Charles (FA),67,357,5.3,30,0,0,27,0,272,10.1,1,1,16,66.9,4.2,0.1%
