Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
171,2014,Jalen Parmele (FA),1,0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
97,2012,Jalen Parmele (FA),40,143,3.6,28,1,0,7,9,60,8.6,0,0,11,20.3,1.8,0.0%
160,2010,Jalen Parmele (FA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
140,2009,Jalen Parmele (FA),5,17,3.4,7,0,0,0,0,0,0,0,0,7,1.7,0.2,0.0%
130,2008,Jalen Parmele (FA),2,27,13.5,31,0,0,0,0,0,0,0,0,1,2.7,2.7,0.0%
