Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
59,2006,Mike Alstott (FA),60,171,2.9,17,0,3,21,0,85,4.0,0,0,14,43.6,3.1,0.0%
44,2005,Mike Alstott (FA),34,80,2.4,9,0,6,25,3,222,8.9,1,0,15,74.2,4.9,0.0%
63,2004,Mike Alstott (FA),67,230,3.4,32,0,2,29,41,202,7.0,0,2,14,51.2,3.7,0.0%
83,2003,Mike Alstott (FA),27,77,2.9,29,0,2,10,12,83,8.3,0,0,4,28.0,7.0,0.0%
34,2002,Mike Alstott (FA),146,548,3.8,32,0,5,35,48,242,6.9,2,2,16,117.0,7.3,0.0%
