Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
91,2011,Chester Taylor (FA),20,77,3.9,34,0,1,14,24,91,6.5,0,0,11,22.8,2.1,0.0%
58,2010,Chester Taylor (FA),112,267,2.4,24,0,3,20,26,139,7.0,0,0,16,58.6,3.7,0.0%
42,2009,Chester Taylor (FA),94,338,3.6,25,0,1,44,59,389,8.8,1,0,16,84.7,5.3,0.0%
32,2008,Chester Taylor (FA),80,318,4.0,21,0,4,38,0,358,9.4,2,0,12,107.8,9.0,0.0%
52,2007,Chester Taylor (FA),58,267,4.6,37,0,1,8,8,74,9.3,0,1,6,38.1,6.4,0.0%
12,2006,Chester Taylor (FA),303,"1,216",4.0,95,0,6,42,0,288,6.9,0,0,15,186.4,12.4,0.0%
42,2005,Chester Taylor (FA),117,487,4.2,52,0,0,41,7,292,7.1,1,0,15,83.9,5.6,0.0%
34,2004,Chester Taylor (FA),160,714,4.5,47,0,2,30,38,184,6.1,0,1,16,99.8,6.2,0.0%
59,2003,Chester Taylor (FA),63,276,4.4,32,0,2,20,27,132,6.6,0,1,16,50.8,3.2,0.0%
68,2002,Chester Taylor (FA),33,122,3.7,17,0,0,14,22,129,9.2,2,1,15,37.1,2.5,0.0%
