Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
61,2019,Benjamin Watson (FA),17,24,173,10.2,26,3,0,0,0,0,0,10,17.3,1.7,2.8%
24,2018,Benjamin Watson (FA),35,46,400,11.4,32,7,2,0,0,0,0,16,52.0,3.3,2.8%
16,2017,Benjamin Watson (FA),61,79,522,8.6,33,5,4,0,0,0,0,16,76.2,4.8,2.8%
8,2015,Benjamin Watson (FA),74,110,825,11.1,46,13,6,0,0,0,1,16,116.5,7.3,2.8%
51,2014,Benjamin Watson (FA),20,31,136,6.8,15,0,2,0,0,0,0,16,25.6,1.6,2.8%
45,2013,Benjamin Watson (FA),19,30,226,11.9,32,4,2,0,0,0,0,15,34.6,2.3,2.8%
24,2012,Benjamin Watson (FA),49,81,501,10.2,27,5,3,0,0,0,0,16,68.1,4.3,2.8%
31,2011,Benjamin Watson (FA),37,71,410,11.1,34,0,2,0,0,0,0,13,53.0,4.1,2.8%
14,2010,Benjamin Watson (FA),68,102,763,11.2,44,0,3,1,-1,0,0,16,94.2,5.9,2.8%
19,2009,Benjamin Watson (FA),29,41,404,13.9,36,0,5,0,0,0,0,16,70.4,4.4,2.8%
33,2008,Benjamin Watson (FA),22,10,209,9.5,29,0,2,0,0,0,0,14,32.9,2.4,2.8%
9,2007,Benjamin Watson (FA),36,0,389,10.8,35,0,6,1,11,0,0,12,76.0,6.3,2.8%
10,2006,Benjamin Watson (FA),49,0,643,13.1,40,0,3,0,0,0,0,13,82.3,6.3,2.8%
17,2005,Benjamin Watson (FA),29,0,441,15.2,35,0,4,0,0,0,0,15,68.1,4.5,2.8%
97,2004,Benjamin Watson (FA),2,4,16,8.0,14,0,0,0,0,0,0,1,1.6,1.6,2.8%
