Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
49,2020,Greg Olsen (FA),24,37,239,10.0,22,3,1,0,0,0,0,11,29.9,2.7,7.0%
15,2019,Greg Olsen (FA),52,82,597,11.5,41,9,2,0,0,0,0,14,71.7,5.1,7.0%
23,2018,Greg Olsen (FA),27,38,291,10.8,23,2,4,0,0,0,0,9,53.1,5.9,7.0%
51,2017,Greg Olsen (FA),17,38,191,11.2,30,2,1,0,0,0,0,7,25.1,3.6,7.0%
2,2016,Greg Olsen (FA),80,129,"1,073",13.4,78,14,3,0,0,0,0,16,127.3,8.0,7.0%
4,2015,Greg Olsen (FA),77,124,"1,104",14.3,52,20,7,0,0,0,1,16,150.4,9.4,7.0%
4,2014,Greg Olsen (FA),84,123,"1,008",12.0,38,9,6,0,0,0,0,16,136.8,8.6,7.0%
8,2013,Greg Olsen (FA),73,111,816,11.2,31,12,6,0,0,0,0,16,117.6,7.4,7.0%
6,2012,Greg Olsen (FA),69,104,843,12.2,47,11,5,0,0,0,0,16,114.3,7.1,7.0%
19,2011,Greg Olsen (FA),45,89,540,12.0,44,0,5,0,0,0,1,16,84.0,5.3,7.0%
23,2010,Greg Olsen (FA),41,70,404,9.9,39,0,5,0,0,0,1,16,68.4,4.3,7.0%
10,2009,Greg Olsen (FA),60,108,612,10.2,41,0,8,0,0,0,0,16,109.2,6.8,7.0%
8,2008,Greg Olsen (FA),54,13,574,10.6,52,0,5,0,0,0,0,16,87.4,5.5,7.0%
16,2007,Greg Olsen (FA),39,0,391,10.0,31,0,2,0,0,0,0,14,51.1,3.7,7.0%
