Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
113,2017,Gavin Escobar (FA),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
79,2016,Gavin Escobar (FA),4,7,30,7.5,14,0,1,0,0,0,0,16,9.0,0.6,0.0%
78,2015,Gavin Escobar (FA),8,13,64,8.0,22,1,1,0,0,0,1,14,10.4,0.7,0.0%
39,2014,Gavin Escobar (FA),9,13,105,11.7,26,2,4,0,0,0,0,16,34.5,2.2,0.0%
51,2013,Gavin Escobar (FA),9,15,134,14.9,25,3,2,0,0,0,0,16,25.4,1.6,0.0%
