Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
97,2011,Justin Peelle (FA),1,4,19,19.0,19,0,0,0,0,0,0,5,1.9,0.4,0.0%
57,2010,Justin Peelle (FA),10,15,96,9.6,15,0,1,0,0,0,0,9,15.6,1.7,0.0%
48,2009,Justin Peelle (FA),12,15,115,9.6,32,0,2,0,0,0,0,11,23.5,2.1,0.0%
37,2008,Justin Peelle (FA),13,0,139,10.7,18,0,2,0,0,0,0,9,25.9,2.9,0.0%
26,2007,Justin Peelle (FA),17,0,149,8.8,35,0,2,0,0,0,0,7,26.9,3.8,0.0%
52,2006,Justin Peelle (FA),16,0,116,7.3,25,0,1,0,0,0,0,13,17.6,1.4,0.0%
60,2005,Justin Peelle (FA),11,0,38,3.5,11,0,1,0,0,0,0,10,9.8,1.0,0.0%
52,2004,Justin Peelle (FA),10,20,84,8.4,17,0,2,0,0,0,1,12,18.4,1.5,0.0%
46,2003,Justin Peelle (FA),16,25,133,8.3,24,0,1,0,0,0,0,10,19.3,1.9,0.0%
82,2002,Justin Peelle (FA),3,7,15,5.0,10,0,0,0,0,0,0,9,1.5,0.2,0.0%
