Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
45,2021,Colt McCoy (ARI),74,99,74.7,740,7.5,3,1,6,22,37,0,1,8,42.3,5.3,0.1%
52,2020,Colt McCoy (ARI),40,66,60.6,375,5.7,1,1,5,9,12,0,1,4,19.1,4.8,0.1%
59,2019,Colt McCoy (ARI),18,27,66.7,122,4.5,0,1,6,2,14,0,0,2,5.3,2.7,0.1%
46,2018,Colt McCoy (ARI),34,54,63.0,372,6.9,3,3,6,10,63,0,0,3,27.2,9.1,0.1%
67,2017,Colt McCoy (ARI),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
57,2015,Colt McCoy (ARI),7,11,63.6,128,11.6,1,0,1,3,-3,0,0,2,8.8,4.4,0.1%
40,2014,Colt McCoy (ARI),91,128,71.1,"1,057",8.3,4,3,17,16,66,1,1,5,63.0,12.6,0.1%
64,2013,Colt McCoy (ARI),1,1,100.0,13,13.0,0,0,0,6,-6,0,0,4,-0.1,-0.0,0.1%
51,2012,Colt McCoy (ARI),9,17,52.9,79,4.6,1,0,4,4,15,0,0,3,8.7,2.9,0.1%
20,2011,Colt McCoy (ARI),265,463,57.2,"2,733",5.9,14,11,32,61,212,0,2,13,159.9,12.3,0.1%
31,2010,Colt McCoy (ARI),135,222,60.8,"1,576",7.1,6,9,23,28,136,1,0,8,90.0,11.3,0.1%
