Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
38,2011,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
43,2010,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
43,2009,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
43,2008,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
41,2007,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
41,2006,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
47,2005,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
48,2004,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
45,2003,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
49,2002,Jason Baker (FA),0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
