Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
55,2021,Nick Foles (IND),24,35,68.6,250,7.1,1,0,4,4,8,0,0,1,16.8,16.8,0.1%
36,2020,Nick Foles (IND),202,312,64.7,"1,852",5.9,10,8,18,16,1,1,0,9,112.1,12.5,0.1%
43,2019,Nick Foles (IND),77,117,65.8,736,6.3,3,2,8,4,23,0,2,4,39.7,9.9,0.1%
36,2018,Nick Foles (IND),141,195,72.3,"1,413",7.2,7,4,9,9,17,0,2,5,75.2,15.0,0.1%
43,2017,Nick Foles (IND),57,101,56.4,537,5.3,5,2,5,11,3,0,2,7,33.8,4.8,0.1%
45,2016,Nick Foles (IND),36,55,65.5,410,7.5,3,0,4,4,-4,0,0,3,28.0,9.3,0.1%
32,2015,Nick Foles (IND),190,337,56.4,"2,052",6.1,7,10,14,17,20,1,2,11,95.9,8.7,0.1%
29,2014,Nick Foles (IND),186,311,59.8,"2,163",7.0,13,10,9,16,68,0,3,8,119.3,14.9,0.1%
11,2013,Nick Foles (IND),203,317,64.0,"2,891",9.1,27,2,28,57,221,3,2,13,259.7,20.0,0.1%
33,2012,Nick Foles (IND),161,265,60.8,"1,699",6.4,6,5,20,11,42,1,3,7,86.2,12.3,0.1%
