Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
37,2012,Brady Quinn (FA),112,197,56.9,"1,141",5.8,2,8,21,19,66,0,0,10,44.2,4.4,0.0%
29,2009,Brady Quinn (FA),136,256,53.1,"1,339",5.2,8,7,19,20,98,1,3,10,83.2,8.3,0.0%
40,2008,Brady Quinn (FA),45,89,50.6,518,5.8,2,2,1,5,21,0,0,3,26.9,9.0,0.0%
64,2007,Brady Quinn (FA),3,8,37.5,45,5.6,0,0,0,0,0,0,0,1,1.8,1.8,0.0%
