Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
221,2021,Keke Coutee (IND),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
92,2020,Keke Coutee (IND),33,40,400,12.1,64,8,3,0,0,0,3,8,54.0,6.8,0.0%
108,2019,Keke Coutee (IND),22,36,254,11.5,51,7,0,2,14,1,1,10,30.8,3.1,0.0%
109,2018,Keke Coutee (IND),28,41,287,10.3,40,4,1,3,0,0,0,6,34.7,5.8,0.0%
