Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
154,2017,John Kuhn (FA),1,2,2.0,2,0,0,0,0,0,0,0,0,2,0.2,0.1,0.0%
68,2016,John Kuhn (FA),18,37,2.1,4,0,4,16,20,70,4.4,1,0,16,40.7,2.5,0.0%
105,2015,John Kuhn (FA),9,28,3.1,5,0,2,6,10,56,9.3,0,0,16,20.4,1.3,0.0%
101,2014,John Kuhn (FA),24,85,3.5,11,0,1,4,4,23,5.8,0,0,16,16.8,1.1,0.0%
102,2013,John Kuhn (FA),10,38,3.8,12,0,1,13,19,81,6.2,0,1,15,15.9,1.1,0.0%
89,2012,John Kuhn (FA),23,63,2.7,9,0,1,15,18,148,9.9,0,0,14,27.1,1.9,0.0%
62,2011,John Kuhn (FA),30,78,2.6,12,0,4,15,18,77,5.1,2,0,16,51.5,3.2,0.0%
51,2010,John Kuhn (FA),84,281,3.3,18,0,4,15,18,97,6.5,2,0,16,73.8,4.6,0.0%
82,2009,John Kuhn (FA),8,18,2.3,5,0,1,7,7,47,6.7,2,0,14,24.5,1.8,0.0%
83,2008,John Kuhn (FA),8,10,1.3,3,0,1,4,0,21,5.3,2,0,16,21.1,1.3,0.0%
134,2007,John Kuhn (FA),0,0,0,0,0,0,2,0,7,3.5,0,0,16,0.7,0.0,0.0%
133,2006,John Kuhn (FA),2,18,9.0,16,0,0,1,0,15,15.0,0,0,6,3.3,0.6,0.0%
