Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
34,2016,Rashad Jennings (FA),181,593,3.3,25,3,3,35,42,201,5.7,1,0,13,103.4,8.0,0.0%
20,2015,Rashad Jennings (FA),195,863,4.4,38,6,3,29,40,296,10.2,1,2,16,135.9,8.5,0.0%
30,2014,Rashad Jennings (FA),167,639,3.8,18,0,4,30,41,226,7.5,0,1,11,108.5,9.9,0.0%
21,2013,Rashad Jennings (FA),163,733,4.5,80,4,6,36,47,292,8.1,0,0,15,138.5,9.2,0.0%
60,2012,Rashad Jennings (FA),101,283,2.8,21,1,2,19,26,130,6.8,0,1,10,53.3,5.3,0.0%
41,2010,Rashad Jennings (FA),84,459,5.5,74,0,4,26,34,223,8.6,0,0,13,92.2,7.1,0.0%
76,2009,Rashad Jennings (FA),39,202,5.2,28,0,1,16,18,101,6.3,0,0,15,36.3,2.4,0.0%
