Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
41,2007,Ron Dayne (FA),100,348,3.5,39,0,2,6,2,35,5.8,0,0,7,50.3,7.2,0.0%
39,2006,Ron Dayne (FA),151,612,4.1,19,0,5,14,0,77,5.5,0,0,10,100.9,10.1,0.0%
75,2005,Ron Dayne (FA),53,270,5.1,55,0,1,3,2,17,5.7,0,0,8,34.7,4.3,0.0%
86,2004,Ron Dayne (FA),52,179,3.4,15,0,1,1,4,7,7.0,0,0,11,24.6,2.2,0.0%
47,2002,Ron Dayne (FA),125,428,3.4,30,0,3,11,12,49,4.5,0,1,16,63.7,4.0,0.0%
